City,Climate Zone (ASHRAE),Climate Zone (This paper),latitude,longitude
"Evansville, IN",4A Mixed - Humid (Baltimore-MD),Mixed-humid,37.9708,-87.4897
"Fayetteville, AR",4A Mixed - Humid (Baltimore-MD),Mixed-humid,36.1189,-93.984
"Frankfort, KY",4A Mixed - Humid (Baltimore-MD),Mixed-humid,38.2357,-84.9592
"Jefferson City, MO",4A Mixed - Humid (Baltimore-MD),Mixed-humid,38.5516,-92.2745
"Louisville, KY",4A Mixed - Humid (Baltimore-MD),Mixed-humid,38.0858,-85.8495
"Lynchburg, VA",4A Mixed - Humid (Baltimore-MD),Mixed-humid,37.344,-79.2064
"Nashville, TN",4A Mixed - Humid (Baltimore-MD),Mixed-humid,36.1473,-86.777
"New York, NY",4A Mixed - Humid (Baltimore-MD),Mixed-humid,40.7528,-73.9725
"Philadelphia, PA",4A Mixed - Humid (Baltimore-MD),Mixed-humid,39.9524,-75.1653
"Raleigh, NC",4A Mixed - Humid (Baltimore-MD),Mixed-humid,35.8181,-78.5636
"Richmond, VA",4A Mixed - Humid (Baltimore-MD),Mixed-humid,37.5858,-77.4888
"Roanoke, VA",4A Mixed - Humid (Baltimore-MD),Mixed-humid,37.2177,-79.921
"Topeka, KS",4A Mixed - Humid (Baltimore-MD),Mixed-humid,39.038,-95.7278
"Washington, DC",4A Mixed - Humid (Baltimore-MD),Mixed-humid,38.8749,-77.0325
"Albuquerque, NM",4B Mixed - Dry (Albuquerque-NM),Mixed-dry,35.0441,-106.8904
"Bellingham, WA",4C Mixed - Marine (Salem-OR),Mixed-marine,48.7395,-122.4809
"Olympia, WA",4C Mixed - Marine (Salem-OR),Mixed-marine,46.9445,-123.0493
"Portland, OR",4C Mixed - Marine (Salem-OR),Mixed-marine,45.4691,-122.5535
"Salem, OR",4C Mixed - Marine (Salem-OR),Mixed-marine,44.9016,-122.9223
"Seattle, WA",4C Mixed - Marine (Salem-OR),Mixed-marine,47.6026,-122.3284
"Albany, NY",5A Cool - Humid (Chicago-IL),Cold-humid,42.6849,-73.8318
"Ann Arbor, MI",5A Cool - Humid (Chicago-IL),Cold-humid,42.2734,-83.7133
"Boston, MA",5A Cool - Humid (Chicago-IL),Cold-humid,42.3496,-71.0746
"Champaign, IL",5A Cool - Humid (Chicago-IL),Cold-humid,40.1319,-88.2952
"Chicago, IL",5A Cool - Humid (Chicago-IL),Cold-humid,41.9288,-87.6315
"Columbus, OH",5A Cool - Humid (Chicago-IL),Cold-humid,39.8928,-82.9588
"Des Moines, IA",5A Cool - Humid (Chicago-IL),Cold-humid,41.5839,-93.6289
"Detroit, MI",5A Cool - Humid (Chicago-IL),Cold-humid,42.3679,-83.1386
"Harrisburg, PA",5A Cool - Humid (Chicago-IL),Cold-humid,40.2762,-76.7889
"Hartford, CT",5A Cool - Humid (Chicago-IL),Cold-humid,41.7686,-72.6745
"Indianapolis, IN",5A Cool - Humid (Chicago-IL),Cold-humid,39.793,-86.2853
"Lansing, MI",5A Cool - Humid (Chicago-IL),Cold-humid,42.7422,-84.5255
"Lincoln, NE",5A Cool - Humid (Chicago-IL),Cold-humid,40.8176,-96.7114
"Monroe, MI",5A Cool - Humid (Chicago-IL),Cold-humid,41.9505,-83.4457
"Omaha, NE",5A Cool - Humid (Chicago-IL),Cold-humid,41.2079,-96.1183
"Providence, RI",5A Cool - Humid (Chicago-IL),Cold-humid,41.8195,-71.4107
"Springfield, IL",5A Cool - Humid (Chicago-IL),Cold-humid,39.8011,-89.6502
"Trenton, NJ",5A Cool - Humid (Chicago-IL),Cold-humid,40.2648,-74.8243
"Boise, ID",5B Cool - Dry (Boise-ID),Cold-dry,43.561,-116.2135
"Boulder, CO",5B Cool - Dry (Boise-ID),Cold-dry,40.0878,-105.3735
"Carson City, NV",5B Cool - Dry (Boise-ID),Cold-dry,39.1496,-119.7178
"Denver, CO",5B Cool - Dry (Boise-ID),Cold-dry,39.7525,-104.9995
"Flagstaff, AZ",5B Cool - Dry (Boise-ID),Cold-dry,35.1981,-111.6513
"Fort Collins, CO",5B Cool - Dry (Boise-ID),Cold-dry,40.5939,-105.1256
"Grand Junction, CO",5B Cool - Dry (Boise-ID),Cold-dry,39.1264,-108.5363
"Greeley, CO",5B Cool - Dry (Boise-ID),Cold-dry,40.3996,-104.8002
"Salt Lake City, UT",5B Cool - Dry (Boise-ID),Cold-dry,40.7608,-111.8911
"Santa Fe, NM",5B Cool - Dry (Boise-ID),Cold-dry,35.7847,-105.8749
"Augusta, ME",6A Cold - Humid (Burlington-VT),Cold-humid,44.4051,-69.7567
"Bismarck, ND",6A Cold - Humid (Burlington-VT),Cold-humid,46.8159,-100.7061
"Burlington, VT",6A Cold - Humid (Burlington-VT),Cold-humid,44.4929,-73.2253
"Concord, NH",6A Cold - Humid (Burlington-VT),Cold-humid,43.2081,-71.5376
"Madison, WI",6A Cold - Humid (Burlington-VT),Cold-humid,43.1082,-89.2706
"Milwaukee, WI",6A Cold - Humid (Burlington-VT),Cold-humid,43.0434,-87.8945
"Minneapolis, MN",6A Cold - Humid (Burlington-VT),Cold-humid,45.0059,-93.4305
"Saint Paul, MN",6A Cold - Humid (Burlington-VT),Cold-humid,45.0101,-93.1519
"Cheyenne, WY",6B Cold - Dry (Helena-MT),Cold-dry,41.1034,-104.9059
"Juneau, AK",7 Very Cold (Duluth-MN),Very cold,58.3019,-134.4197
